desconto_pct,mean_quantity,mean_revenue,mean_profit
0.0,4639.834321533203,74621.76590483398,41162.870036279295
0.001,4420.907078613282,71529.73282006942,39408.208142823314
0.002,4372.302567138672,70453.78638384065,38788.52392647491
0.003,4445.1729230957035,70340.2807255021,38754.4039669938
0.004,3811.8260674438475,59645.83736257602,32862.21060076328
0.005,4638.925782958984,71168.70072652689,39232.35248535013
0.006,4138.317266845703,65096.445740821895,35809.00197825354
0.007,4310.560146972656,66636.73187137005,36649.56096340375
0.008,4564.17661303711,70165.15916819054,38564.93488039514
0.009000000000000001,4104.13385168457,61652.38930811356,33922.93548924516
0.01,4007.959178222656,60261.91929258694,33136.82038925077
0.011,3786.743447814941,57983.96607296043,31813.905706999725
0.012,3853.8661618652345,59181.93988434876,32422.109585205693
0.013000000000000001,3832.2700622558596,59106.15525693232,32350.144703590027
0.014,3928.120106689453,60518.02508763048,33089.71450941026
0.015,5847.108211914063,98012.31006891826,53449.31509273661
0.016,5870.580342773437,98053.9943625188,53485.17441012622
0.017,5945.837861816406,99094.28592601899,54018.23056831392
0.018000000000000002,5995.029228759766,99233.14412689656,54073.91189708942
0.019,5789.78467993164,94894.54079006426,51622.23426861407
0.02,5003.054046142578,82484.82256339131,44775.421922058296
0.021,5243.538419677734,87309.13673009725,47343.97723063192
0.022,5174.67784008789,86878.40076248239,47025.794825604935
0.023,5074.797910644531,85770.00291766127,46361.73090458022
0.024,5171.896909179687,86767.20470818273,46876.291874967406
0.025,4500.889043457031,76121.84844855322,41144.327397232424
0.026000000000000002,4369.612311279297,74354.48813288813,40155.18516254635
0.027,4331.8955703125,71853.19872985774,38771.82470749446
0.028,4116.347641845703,68188.8584696233,36798.740937209965
0.029,3686.0941416015626,59981.90550245204,32471.700101048238
0.03,4161.398291748047,67379.72534231254,36424.286868240255
0.031,4067.3934587402346,65775.59304592088,35541.52460592577
0.032,4228.330280761718,69220.92849414295,37355.994431442756
0.033,4048.6292424316407,67122.57270018879,36230.7383354378
0.034,3940.063316650391,65221.108691224945,35165.98268084165
0.035,3363.623329788208,56278.21304049238,30324.932678283818
0.036000000000000004,5248.049059814453,84422.21201271928,45309.5538019307
0.037,5144.166484130859,82748.51916225848,44356.725054345894
0.038,4215.194190002441,69436.54170283802,37201.01480861317
0.039,7209.967282714843,118065.76553384132,62942.16106598486
0.04,7367.03754663086,120157.79340503203,64006.83286657011
